num_poliza,nombre_producto,riesgo,sexo,moneda,fecha nacimiento,fecha inicio,fecha fin,gastos_adm,monto prima,suma_asegurada
c-02010415061740033082,producto02,Vida grupo particular,F,PEN,1942-09-06,2021-06-28,2025-07-02,0.1,119.0,2730.0
c-02010415451710033082,producto02,Vida grupo particular,F,PEN,1970-08-08,2021-06-28,2025-07-02,0.1,70.0,1100.0
c-02010419500810033088,producto02,Vida grupo particular,F,PEN,1970-12-13,2021-06-30,2027-07-05,0.1,39.0,1400.0
c-02010420572710033084,producto02,Vida grupo particular,F,PEN,1953-04-04,2021-06-28,2025-07-02,0.1,83.0,1050.0
c-02010421766020033086,producto02,Vida grupo particular,F,PEN,1991-12-26,2021-06-28,2027-07-03,0.1,90.0,1050.0
c-02010426716830033093,producto02,Vida grupo particular,F,PEN,1955-09-16,2021-06-30,2026-07-04,0.1,147.0,1950.0
c-02010428927050033083,producto02,Vida grupo particular,F,PEN,1946-08-05,2021-06-28,2027-07-17,0.1,109.0,1305.0
c-02010430028020033086,producto02,Vida grupo particular,F,PEN,1952-11-27,2021-06-28,2027-07-02,0.1,5.0,1029.9
c-02010431008570033090,producto02,Vida grupo particular,F,PEN,1992-03-28,2021-06-30,2027-07-05,0.1,68.0,950.0
c-02010431237350033090,producto02,Vida grupo particular,F,PEN,1951-06-16,2021-06-30,2025-07-04,0.1,23.0,1050.0
c-02010431472070033088,producto02,Vida grupo particular,F,PEN,1961-03-14,2021-06-30,2025-07-04,0.1,19.0,500.0
c-02010432480970033085,producto02,Vida grupo particular,F,PEN,1967-11-23,2021-06-28,2027-07-02,0.1,262.0,3000.0
c-02010435967930033089,producto02,Vida grupo particular,F,PEN,1960-07-17,2021-06-30,2025-07-04,0.1,16.0,1850.0
c-02010436040200033083,producto02,Vida grupo particular,F,PEN,1965-10-23,2021-06-28,2027-07-10,0.1,100.0,2500.0
c-02010440611840033088,producto02,Vida grupo particular,F,PEN,1992-12-09,2021-06-30,2025-07-02,0.1,75.0,1050.0
c-02010441912810033083,producto02,Vida grupo particular,F,PEN,1963-10-07,2021-06-28,2026-07-02,0.1,32.0,1850.0
c-02010442450720033087,producto02,Vida grupo particular,F,PEN,1977-08-11,2021-06-30,2025-07-02,0.1,59.0,720.0
c-02010445069900033088,producto02,Vida grupo particular,F,PEN,1949-07-28,2021-06-30,2025-07-16,0.1,13.0,600.0
c-02010445555110033084,producto02,Vida grupo particular,F,PEN,1970-02-17,2021-06-28,2025-07-02,0.1,8.0,1000.0
c-02010445632760033083,producto02,Vida grupo particular,F,PEN,1965-04-07,2021-06-28,2027-07-02,0.1,93.0,1575.0
c-02010447542310033087,producto02,Vida grupo particular,M,PEN,1964-06-20,2021-06-30,2027-07-05,0.1,38.0,1200.0
c-02010448566220033082,producto02,Vida grupo particular,M,PEN,1973-11-30,2021-06-28,2027-07-03,0.1,93.0,1050.0
c-02010448741360033081,producto02,Vida grupo particular,M,PEN,1963-01-28,2021-06-28,2026-07-02,0.1,21.0,1400.0
c-02010448865020033080,producto02,Vida grupo particular,M,PEN,1975-05-21,2021-06-28,2025-07-02,0.1,35.0,800.0
c-02010454192120033090,producto02,Vida grupo particular,M,PEN,1957-08-05,2021-06-30,2027-07-06,0.1,31.0,1050.0
c-02010454379140033094,producto02,Vida grupo particular,M,PEN,1972-03-09,2021-06-30,2026-07-25,0.1,112.0,1755.0
c-02010455225950033081,producto02,Vida grupo particular,M,PEN,1966-06-05,2021-06-28,2026-07-02,0.1,8.0,3000.0
c-02010455415940033094,producto02,Vida grupo particular,M,PEN,1968-12-05,2021-06-30,2026-07-04,0.1,42.0,550.0
c-02010457569010033092,producto02,Vida grupo particular,F,PEN,1961-06-19,2021-06-30,2027-07-07,0.1,63.0,1660.0
c-02010457843820033091,producto02,Vida grupo particular,F,PEN,1990-09-21,2021-06-30,2025-07-11,0.1,74.0,950.0
c-02010458165260033087,producto02,Vida grupo particular,F,PEN,1985-07-23,2021-06-30,2027-07-05,0.1,3.0,1060.0
c-02010459911530033080,producto02,Vida grupo particular,F,PEN,1971-07-20,2021-06-28,2026-07-02,0.1,109.0,2000.0
c-02010462489620033082,producto02,Vida grupo particular,F,PEN,1958-11-06,2021-06-28,2025-07-03,0.1,17.0,1020.0
c-02010464357350033091,producto02,Vida grupo particular,F,PEN,1958-08-08,2021-06-30,2026-07-06,0.1,158.0,1850.0
c-02010464752110033094,producto02,Vida grupo particular,F,PEN,1980-04-05,2021-06-30,2026-07-04,0.1,42.0,900.0
c-02010464868010033087,producto02,Vida grupo particular,F,PEN,1978-04-01,2021-06-30,2027-07-03,0.1,41.0,640.0
c-02010464945230033082,producto02,Vida grupo particular,F,PEN,1960-02-14,2021-06-28,2025-07-21,0.1,126.0,1850.0
c-02010466191460033090,producto02,Vida grupo particular,F,PEN,1951-04-14,2021-06-30,2027-07-05,0.1,19.0,1850.0
c-02010466341670033094,producto02,Vida grupo particular,F,PEN,1991-05-20,2021-06-30,2025-07-04,0.1,70.0,1365.0
c-02010468506440033083,producto02,Vida grupo particular,F,PEN,1967-02-14,2021-06-28,2027-07-06,0.1,26.0,320.0
c-02010470084610033090,producto02,Vida grupo particular,F,PEN,1952-10-30,2021-06-30,2026-07-04,0.1,90.0,3000.0
c-02010471972700033084,producto02,Vida grupo particular,F,PEN,1990-05-09,2021-06-28,2025-07-02,0.1,21.0,1060.0
c-02010474636070033090,producto02,Vida grupo particular,F,PEN,1988-01-21,2021-06-30,2026-07-17,0.1,77.0,1000.0
c-02010476777350033092,producto02,Vida grupo particular,F,PEN,1971-10-02,2021-06-30,2027-07-05,0.1,149.0,1850.0
c-02010484779160033089,producto02,Vida grupo particular,F,PEN,1976-09-13,2021-06-30,2025-07-04,0.1,45.0,1050.0
c-02010486575830033090,producto02,Vida grupo particular,F,PEN,1971-11-02,2021-06-30,2026-07-04,0.1,73.0,2000.0
c-02010501854320033089,producto02,Vida grupo particular,F,PEN,1980-06-05,2021-06-30,2025-07-21,0.1,19.0,1100.0
c-02010502011010033082,producto02,Vida grupo particular,F,PEN,1987-06-06,2021-06-28,2026-07-10,0.1,46.0,1250.0
c-02010502045480033091,producto02,Vida grupo particular,F,PEN,1985-07-22,2021-06-30,2025-07-18,0.1,18.0,200.0
c-02010502046560033088,producto02,Vida grupo particular,F,PEN,1974-11-20,2021-06-30,2027-07-30,0.1,34.0,600.0
c-02010502076350033080,producto02,Vida grupo particular,F,PEN,1953-03-01,2021-06-28,2025-07-02,0.1,96.0,1500.0
c-02010502081030033080,producto02,Vida grupo particular,F,PEN,1975-01-31,2021-06-28,2025-07-25,0.1,31.0,1000.0
c-02010502081210033081,producto02,Vida grupo particular,F,PEN,1984-09-01,2021-06-28,2025-07-02,0.1,60.0,950.0
c-02010502083910033088,producto02,Vida grupo particular,F,PEN,1974-05-24,2021-06-30,2025-07-09,0.1,51.0,1000.0
c-02010502084540033082,producto02,Vida grupo particular,F,PEN,1985-09-04,2021-06-28,2025-07-02,0.1,25.0,950.0
c-02010502085080033081,producto02,Vida grupo particular,F,PEN,1953-04-22,2021-06-28,2027-07-02,0.1,6.0,650.0
c-02010502085710033081,producto02,Vida grupo particular,F,PEN,1980-08-29,2021-06-28,2025-07-02,0.1,62.0,1150.0
c-02010502090570033084,producto02,Vida grupo particular,F,PEN,1984-09-17,2021-06-28,2025-07-17,0.1,9.0,700.1
c-02010502091020033081,producto02,Vida grupo particular,F,PEN,1981-04-25,2021-06-28,2025-07-02,0.1,28.0,950.0
c-02010502097140033094,producto02,Vida grupo particular,F,PEN,1992-03-17,2021-06-30,2025-07-07,0.1,4.0,1100.0
c-02010502111090033083,producto02,Vida grupo particular,F,PEN,1956-01-16,2021-06-28,2025-07-02,0.1,25.0,440.0
c-02010502112260033084,producto02,Vida grupo particular,F,PEN,1985-09-14,2021-06-28,2027-07-27,0.1,84.0,950.0
c-02010502116220033084,producto02,Vida grupo particular,F,PEN,1959-01-26,2021-06-28,2025-07-03,0.1,3.0,900.1
c-02010502123600033085,producto02,Vida grupo particular,F,PEN,1969-09-15,2021-06-28,2025-07-02,0.1,41.0,950.0
c-02010502129810033086,producto02,Vida grupo particular,F,PEN,1984-04-10,2021-06-28,2026-06-27,0.1,40.0,845.0
c-02010502135750033089,producto02,Vida grupo particular,F,PEN,1957-02-10,2021-06-30,2025-07-09,0.1,8.0,1300.0
c-02010502143670033093,producto02,Vida grupo particular,F,PEN,1958-11-12,2021-06-30,2026-07-04,0.1,1.0,500.0
c-02010502145740033090,producto02,Vida grupo particular,F,PEN,1977-08-01,2021-06-30,2026-07-06,0.1,2.0,500.0
c-02010502152310033089,producto02,Vida grupo particular,F,PEN,1988-03-10,2021-06-30,2025-07-04,0.1,10.0,600.0
